gvkey,iid,datadate,tic,prccd,,,
1161,1,20180611,AMD,15.73,,,
1161,1,20180612,AMD,15.85,,,
1161,1,20180613,AMD,16.32,,,
1161,1,20180614,AMD,16.25,,,
1161,1,20180615,AMD,16.34,,,
1161,1,20180618,AMD,17.11,,,
1161,1,20180619,AMD,16.69,,,
1161,1,20180620,AMD,16.52,,,
1161,1,20180621,AMD,15.65,,,
1161,1,20180622,AMD,15.8,,,
1161,1,20180625,AMD,15.11,,,
1161,1,20180626,AMD,15.5,,,
1161,1,20180627,AMD,14.97,,,
1161,1,20180628,AMD,15.31,,,
1161,1,20180629,AMD,14.99,,,
1161,1,20180702,AMD,15.16,,,
1161,1,20180703,AMD,15,,,
1161,1,20180705,AMD,15.5,,,
1161,1,20180706,AMD,16.36,,,
1161,1,20180709,AMD,16.61,,,
1161,1,20180710,AMD,16.55,,,
1161,1,20180711,AMD,16.27,,,
1161,1,20180712,AMD,16.56,,,
1161,1,20180713,AMD,16.27,,,
1161,1,20180716,AMD,16.58,,,
1161,1,20180717,AMD,16.87,,,
1161,1,20180718,AMD,16.85,,,
1161,1,20180719,AMD,16.71,,,
1161,1,20180720,AMD,16.5,,,
1161,1,20180723,AMD,16.66,,,
1161,1,20180724,AMD,16.19,,,
1161,1,20180725,AMD,16.05,,,
1161,1,20180726,AMD,18.35,,,
1161,1,20180727,AMD,18.94,,,
1161,1,20180730,AMD,19.42,,,
1161,1,20180731,AMD,18.33,,,
1161,1,20180801,AMD,18.48,,,
1161,1,20180802,AMD,18.79,,,
1161,1,20180803,AMD,18.49,,,
1161,1,20180806,AMD,19.43,,,
1161,1,20180807,AMD,19.56,,,
1161,1,20180808,AMD,19.58,,,
1161,1,20180809,AMD,19.1,,,
1161,1,20180810,AMD,19.06,,,
1161,1,20180813,AMD,19.73,,,
1161,1,20180814,AMD,20.02,,,
1161,1,20180815,AMD,19.7,,,
1161,1,20180816,AMD,19.33,,,
1161,1,20180817,AMD,19.77,,,
1161,1,20180820,AMD,19.98,,,
1161,1,20180821,AMD,20.4,,,
1161,1,20180822,AMD,20.9,,,
1161,1,20180823,AMD,22.29,,,
1161,1,20180824,AMD,23.98,,,
1161,1,20180827,AMD,25.26,,,
1161,1,20180828,AMD,25.05,,,
1161,1,20180829,AMD,25.2,,,
1161,1,20180830,AMD,24.89,,,
1161,1,20180831,AMD,25.17,,,
1161,1,20180904,AMD,28.06,,,
1161,1,20180905,AMD,28.51,,,
1161,1,20180906,AMD,27.84,,,
1161,1,20180907,AMD,27.38,,,
1161,1,20180910,AMD,29.89,,,
1161,1,20180911,AMD,30.1,,,
1161,1,20180912,AMD,32.21,,,
1161,1,20180913,AMD,30.48,,,
1161,1,20180914,AMD,32.72,,,
1161,1,20180917,AMD,32.43,,,
1161,1,20180918,AMD,31.93,,,
1161,1,20180919,AMD,31.21,,,
1161,1,20180920,AMD,31.18,,,
1161,1,20180921,AMD,31.02,,,
1161,1,20180924,AMD,32.61,,,
1161,1,20180925,AMD,32.57,,,
1161,1,20180926,AMD,32.19,,,
1161,1,20180927,AMD,32.59,,,
1161,1,20180928,AMD,30.89,,,
1161,1,20181001,AMD,31.42,,,
